item,unix_timestamp,value,activity_label,location_label
BdRm_Motion_2,1563961935000,OFF,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563961948000,ON,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563961960000,OFF,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563961967000,ON,TRA,TRA
BdRm_Motion_1,1563961984000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563961998000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563962017000,ON,TRA,TRA
BdRm_Motion_1,1563962021000,ON,TRA,TRA
BhRm_Motion_1,1563962025000,ON,TRA,TRA
BhRm_Motion_2,1563962026000,ON,TRA,TRA
BdRm_Motion_1,1563962030000,OFF,TRA,TRA
BdRm_Motion_2,1563962036000,OFF,TRA,TRA
BdRm_Motion_2,1563962063000,ON,TRA,TRA
BdRm_Motion_1,1563962071000,ON,TRA,TRA
BhRm_Motion_2,1563962075000,OFF,activity_sleeping,bedroom_location_bed
BhRm_Motion_1,1563962075000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563962083000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563962084000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563962143000,ON,TRA,TRA
BdRm_Motion_1,1563962149000,ON,activity_brushing_teeth,bedroom_location_mirror
BdRm_Motion_1,1563962160000,OFF,activity_brushing_teeth,bedroom_location_mirror
BdRm_Motion_2,1563962162000,OFF,activity_brushing_teeth,bedroom_location_mirror
BdRm_Motion_1,1563962185000,ON,TRA,TRA
BdRm_Motion_2,1563962185000,ON,TRA,TRA
BdRm_Motion_1,1563962198000,OFF,activity_reading,bedroom_location_chair
BdRm_Motion_2,1563962210000,OFF,activity_reading,bedroom_location_chair
BdRm_Motion_2,1563962215000,ON,activity_reading,bedroom_location_chair
BdRm_Motion_2,1563962232000,OFF,activity_reading,bedroom_location_chair
BdRm_Motion_2,1563962236000,ON,activity_reading,bedroom_location_chair
BdRm_Motion_1,1563962241000,ON,TRA,TRA
BdRm_Motion_2,1563962253000,OFF,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563962268000,ON,TRA,TRA
DgRm_Motion_1,1563962274000,ON,TRA,TRA
DgRm_Motion_2,1563962280000,ON,TRA,TRA
BdRm_Motion_1,1563962281000,OFF,TRA,TRA
Ktch_Motion_1,1563962282000,ON,TRA,TRA
Ktch_Motion_2,1563962283000,ON,TRA,TRA
BdRm_Motion_2,1563962283000,OFF,TRA,TRA
DgRm_Motion_1,1563962292000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962294000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_Motion_2,1563962295000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
DgRm_Motion_2,1563962296000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962299000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962309000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962314000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962318000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962321000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
Predicted_Usage,1563962340000,24820762.120000057,activity_prepare_sandwich,kitchen_location_worktop_corner
Current_Usage,1563962340000,29588.06,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962360000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563962363000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
DgRm_Motion_2,1563962369000,ON,activity_prepare_coffee,kitchen_location_worktop_sink
Ktch_Motion_2,1563962371000,ON,activity_prepare_coffee,kitchen_location_worktop_sink
Ktch_Motion_2,1563962387000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
DgRm_Motion_2,1563962390000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
DgRm_Motion_2,1563962453000,ON,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_Motion_2,1563962456000,ON,TRA,TRA
DgRm_Motion_1,1563962457000,ON,TRA,TRA
DgRm_Motion_1,1563962467000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_2,1563962468000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563962476000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563962481000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563962484000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563962484000,ON,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563962497000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563962500000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563962527000,OFF,activity_reading,kitchen_location_table
DgRm_Motion_2,1563962527000,OFF,activity_reading,kitchen_location_table
Ktch_Motion_1,1563962530000,ON,activity_reading,kitchen_location_table
DgRm_Motion_2,1563962530000,ON,activity_reading,kitchen_location_table
DgRm_Motion_2,1563962542000,OFF,activity_reading,kitchen_location_table
Ktch_Motion_1,1563962543000,OFF,activity_reading,kitchen_location_table
Ktch_Motion_1,1563962547000,ON,activity_reading,kitchen_location_table
DgRm_Motion_2,1563962548000,ON,activity_reading,kitchen_location_table
Ktch_Motion_1,1563962566000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563962566000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563962571000,ON,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563962573000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_2,1563962574000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_2,1563962587000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
DgRm_Motion_2,1563962589000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
DgRm_Motion_2,1563962617000,ON,activity_reading,kitchen_location_table
Ktch_Motion_2,1563962617000,ON,activity_reading,kitchen_location_table
Ktch_Motion_2,1563962630000,OFF,activity_reading,kitchen_location_table
DgRm_Motion_2,1563962634000,OFF,activity_reading,kitchen_location_table
Ktch_Motion_1,1563962635000,OFF,activity_reading,kitchen_location_table
DgRm_Motion_2,1563962658000,ON,activity_reading,kitchen_location_table
Ktch_Motion_1,1563962659000,ON,activity_reading,kitchen_location_table
Ktch_Motion_2,1563962662000,ON,TRA,TRA
DgRm_Motion_1,1563962668000,ON,TRA,TRA
BdRm_Motion_1,1563962674000,ON,TRA,TRA
BdRm_Motion_2,1563962674000,ON,TRA,TRA
Ktch_Motion_1,1563962677000,OFF,TRA,TRA
Ktch_Motion_2,1563962679000,OFF,activity_dressing,bedroom_location_drawers
DgRm_Motion_2,1563962680000,OFF,activity_dressing,bedroom_location_drawers
DgRm_Motion_1,1563962683000,OFF,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563962689000,OFF,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563962704000,ON,TRA,TRA
BdRm_Tch_5,1563962706000,ON,TRA,TRA
Bedroom_blind,1563962707000,6.0,TRA,TRA
Bedroom_blind,1563962709000,16.0,TRA,TRA
BdRm_Tch_5,1563962710000,OFF,TRA,TRA
Bedroom_blind,1563962711000,26.0,TRA,TRA
Bedroom_blind,1563962713000,36.0,TRA,TRA
Bedroom_blind,1563962715000,46.0,TRA,TRA
Bedroom_blind,1563962717000,56.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962718000,61.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962720000,71.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962723000,100.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962723000,71.0,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563962724000,OFF,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962725000,81.0,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563962726000,OFF,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962727000,100.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962727000,81.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962727000,90.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962730000,100.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962731000,90.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962732000,100.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962732000,90.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962732000,96.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962752000,100.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563962753000,96.0,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563962754000,ON,TRA,TRA
Bedroom_blind,1563962754000,100.0,TRA,TRA
BhRm_light,1563962756000,ON,TRA,TRA
BhRm_light,1563962759000,OFF,TRA,TRA
